long,lat,calle_nombre,calle_altura,direccion,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4318244650852,-34.5690307614215,SOLDADO DE LA INDEPENDENCIA,511,SOLDADO DE LA INDEPENDENCIA 511,Palermo,Comuna 14,1426,
-58.4338931599485,-34.5678228585283,SOLDADO DE LA INDEPENDENCIA,719,SOLDADO DE LA INDEPENDENCIA 719,Palermo,Comuna 14,1426,
-58.4350529136043,-34.5672399837328,SOLDADO DE LA INDEPENDENCIA,810,SOLDADO DE LA INDEPENDENCIA 810,Palermo,Comuna 14,1426,
-58.4308446593224,-34.582189969194,SOLER,5421,SOLER 5421,Palermo,Comuna 14,1425,
-58.3904555761755,-34.6105871696247,SOLIS,115,SOLIS 115,Monserrat,Comuna 1,1078,
-58.3903565546217,-34.6103007474139,SOLIS,104,SOLIS 104,Monserrat,Comuna 1,1078,
-58.3900607403294,-34.6216211801897,SOLIS,1107,SOLIS 1107,Constitucion,Comuna 1,1078,
-58.3894564718016,-34.6276302338719,SOLIS,1639,SOLIS 1639,Constitucion,Comuna 1,1134,
-58.3904093885502,-34.6127023294948,SOLIS,309,SOLIS 309,Monserrat,Comuna 1,1078,
-58.390421287393,-34.6139487623322,SOLIS,415,SOLIS 415,Monserrat,Comuna 1,1078,
-58.3903964513963,-34.6169783700607,SOLIS,709,SOLIS 709,Monserrat,Comuna 1,1078,
-58.4766423004975,-34.6764444244135,SOMELLERA,5711,SOMELLERA 5711,Villa Lugano,Comuna 8,1439,
-58.4633263909953,-34.5851569234562,STEPHENSON,2900,STEPHENSON 2900,Villa Ortuzar,Comuna 15,1427,
-58.368046084808,-34.6380476356286,SUAREZ,1101,SUAREZ 1101,Boca,Comuna 4,1162,
-58.3740745965169,-34.6386701586275,SUAREZ,1686,SUAREZ 1686,Barracas,Comuna 4,1288,
-58.5226282961762,-34.6557048208514,"SUAREZ, JOSE LEON",1517,"SUAREZ, JOSE LEON 1517",Mataderos,Comuna 9,1440,
-58.5152620922863,-34.6609895617326,"SUAREZ, JOSE LEON",2102,"SUAREZ, JOSE LEON 2102",Mataderos,Comuna 9,1440,
-58.454813959969,-34.5637311964648,"SUCRE, ANTONIO JOSE DE, MCAL.",2397,"SUCRE, ANTONIO JOSE DE, MCAL. 2397",Belgrano,Comuna 13,1428,
-58.4553050791446,-34.56402489023,"SUCRE, ANTONIO JOSE DE, MCAL.",2415,"SUCRE, ANTONIO JOSE DE, MCAL. 2415",Belgrano,Comuna 13,1428,
-58.3787373559762,-34.6200029654892,TACUARI,1015,TACUARI 1015,Constitucion,Comuna 1,1071,
-58.4003983219932,-34.5841752393247,TAGLE,2520,TAGLE 2520,Palermo,Comuna 14,1425,
-58.3856951085722,-34.5959663415628,TALCAHUANO,1097,TALCAHUANO 1097,Retiro,Comuna 1,1013,
-58.3858511440638,-34.5947997269618,TALCAHUANO,1186,TALCAHUANO 1186,Retiro,Comuna 1,1013,
-58.3857338884952,-34.5966948241375,TALCAHUANO,1014,TALCAHUANO 1014,Retiro,Comuna 1,1013,
-58.3857929124654,-34.5959615724071,TALCAHUANO,1086,TALCAHUANO 1086,Retiro,Comuna 1,1013,
-58.3858595101213,-34.5946663330142,TALCAHUANO,1198,TALCAHUANO 1198,Retiro,Comuna 1,1013,
-58.385073876508,-34.6054346038685,TALCAHUANO,292,TALCAHUANO 292,San Nicolas,Comuna 1,1013,
-58.3855545552426,-34.5996180103104,TALCAHUANO,770,TALCAHUANO 770,San Nicolas,Comuna 1,1013,
-58.3855687273574,-34.5994656916633,TALCAHUANO,778,TALCAHUANO 778,San Nicolas,Comuna 1,1013,
-58.3855699033182,-34.5994530523756,TALCAHUANO,780,TALCAHUANO 780,San Nicolas,Comuna 1,1013,
-58.3855768521648,-34.5984220008212,TALCAHUANO,888,TALCAHUANO 888,Retiro,Comuna 1,1013,
-58.3856660882898,-34.5971739002081,TALCAHUANO,992,TALCAHUANO 992,Retiro,Comuna 1,1013,
-58.4940459581272,-34.5674451303073,"TAMBORINI, JOSE PASCUAL",5312,"TAMBORINI, JOSE PASCUAL 5312",Villa Urquiza,Comuna 12,1431,
-58.4731043008485,-34.6195449435478,TERRADA,1125,TERRADA 1125,Villa Santa Rita,Comuna 11,1416,
-58.4555721323761,-34.6259476081385,,12,TERRERO 12,,,,
-58.4620582853949,-34.6145502351152,TERRERO,1130,TERRERO 1130,Villa Gral. Mitre,Comuna 11,1416,
-58.465521062298,-34.6093829275071,TERRERO,1707,TERRERO 1707,Villa Gral. Mitre,Comuna 11,1416,
-58.4220072044992,-34.5813490532077,THAMES,2490,THAMES 2490,Palermo,Comuna 14,1425,
-58.4219270108928,-34.5812847073923,THAMES,2498,THAMES 2498,Palermo,Comuna 14,1425,
-58.4439094587712,-34.5957070089272,THAMES,482,THAMES 482,Villa Crespo,Comuna 15,1414,
-58.4896904444052,-34.5970044427736,TINOGASTA,2694,TINOGASTA 2694,Agronomia,Comuna 15,1417,
-58.4904498454573,-34.5974598240716,TINOGASTA,2740,TINOGASTA 2740,Villa Del Parque,Comuna 11,1417,
-58.4955387562161,-34.6004942731555,TINOGASTA,3176,TINOGASTA 3176,Villa Del Parque,Comuna 11,1417,
-58.4753098642814,-34.5823077638122,TORRENT,1397,TORRENT 1397,Parque Chas,Comuna 15,1427,
-58.4638215389933,-34.6084122221449,"TRELLES, MANUEL R.",1690,"TRELLES, MANUEL R. 1690",Villa Gral. Mitre,Comuna 11,1416,
-58.4671951833982,-34.6025046709717,"TRELLES, MANUEL R.",2250,"TRELLES, MANUEL R. 2250",Villa Gral. Mitre,Comuna 11,1416,
-58.4671807389811,-34.601632078564,"TRELLES, MANUEL R. AV.",2350,"TRELLES, MANUEL R. AV. 2350",Paternal,Comuna 15,1416,
-58.4769283792714,-34.6175525151031,TRES ARROYOS,2913,TRES ARROYOS 2913,Villa Santa Rita,Comuna 11,1416,
-58.4910302311719,-34.5705531652882,TRIUNVIRATO AV.,5285,TRIUNVIRATO AV. 5285,Villa Urquiza,Comuna 12,1431,
-58.4920978366494,-34.569588193754,TRIUNVIRATO AV.,5390,TRIUNVIRATO AV. 5390,Villa Urquiza,Comuna 12,1431,
-58.4950940819191,-34.5657223808292,TRIUNVIRATO AV.,5744,TRIUNVIRATO AV. 5744,Villa Urquiza,Comuna 12,1431,
-58.3688422102091,-34.6005074765699,,10,TUCUMAN 10,,,,
-58.3860185810689,-34.6016762755949,TUCUMAN,1310,TUCUMAN 1310,San Nicolas,Comuna 1,1050,
-58.392738103972,-34.601955835667,TUCUMAN,1805,TUCUMAN 1805,Balvanera,Comuna 3,1050,
-58.3927931477755,-34.6019589609657,TUCUMAN,1813,TUCUMAN 1813,Balvanera,Comuna 3,1050,
-58.3943337928073,-34.6021221800893,TUCUMAN,1916,TUCUMAN 1916,Balvanera,Comuna 3,1050,
-58.3943337928073,-34.6021221800893,TUCUMAN,1918,TUCUMAN 1918,Balvanera,Comuna 3,1050,
-58.3707372008522,-34.6006497383112,TUCUMAN,201,TUCUMAN 201,San Nicolas,Comuna 1,1049,
-58.3956968412455,-34.6022117724377,TUCUMAN,2010,TUCUMAN 2010,Balvanera,Comuna 3,1050,
-58.3971680344127,-34.6021460341619,TUCUMAN,2105,TUCUMAN 2105,Balvanera,Comuna 3,1050,
-58.3972736938883,-34.6021472383985,TUCUMAN,2111,TUCUMAN 2111,Balvanera,Comuna 3,1050,
-58.3986644798325,-34.6021676853499,TUCUMAN,2201,TUCUMAN 2201,Balvanera,Comuna 3,1051,
-58.3986644798325,-34.6021676853499,TUCUMAN,2209,TUCUMAN 2209,Balvanera,Comuna 3,1051,
-58.3999722002841,-34.6021805395183,TUCUMAN,2309,TUCUMAN 2309,Balvanera,Comuna 3,1051,
-58.4000740469323,-34.6021795668935,TUCUMAN,2315,TUCUMAN 2315,Balvanera,Comuna 3,1051,
-58.4002288299214,-34.6021781083767,TUCUMAN,2331,TUCUMAN 2331,Balvanera,Comuna 3,1051,
-58.401107508876,-34.6021563696782,TUCUMAN,2409,TUCUMAN 2409,Balvanera,Comuna 3,1052,
-58.401107508876,-34.6021563696782,TUCUMAN,2413,TUCUMAN 2413,Balvanera,Comuna 3,1052,
-58.4024510956176,-34.6020376597576,TUCUMAN,2505,TUCUMAN 2505,Balvanera,Comuna 3,1052,
-58.402571690612,-34.6020251062599,TUCUMAN,2521,TUCUMAN 2521,Balvanera,Comuna 3,1052,
-58.4038115808845,-34.6019001273839,TUCUMAN,2611,TUCUMAN 2611,Balvanera,Comuna 3,1052,
-58.4038115808845,-34.6019001273839,TUCUMAN,2615,TUCUMAN 2615,Balvanera,Comuna 3,1052,
-58.4050106420724,-34.601777347678,TUCUMAN,2711,TUCUMAN 2711,Balvanera,Comuna 3,1189,
-58.4066692447164,-34.6016528687299,TUCUMAN,2873,TUCUMAN 2873,Balvanera,Comuna 3,1189,
-58.3715476741311,-34.6007355796362,TUCUMAN,315,TUCUMAN 315,San Nicolas,Comuna 1,1049,
-58.3721305458474,-34.6008453685534,TUCUMAN,362,TUCUMAN 362,San Nicolas,Comuna 1,1049,
