long;lat;id;nombre;anio_de_in;tipo;cantidad;ubicacion;clasificac;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,44319622;-34,60801324;477;PARQUE CENTENARIO;2013;4U;6;INTERIOR;ESPACIOS VERDES;DIAZ VELEZ AV.;5463;;Caballito;Comuna 6;1405;C1405DCJ
-58,40842622;-34,58650321;478;PLAZA LAS HERAS;2013;4U;2;VIA PUBLICA;ESPACIOS VERDES;DIAZ, CNEL. AV.;0;JUNCAL;Recoleta;Comuna 2;;
-58,49827514;-34,55323269;479;POLIDEPORTIVO SARMIENTO;2018;1U;15;INTERIOR;POLIDEPORTIVO;BALBIN, RICARDO, DR. AV.;4750;;Saavedra;Comuna 12;1430;C1430ABS
-58,42604365;-34,58869969;480;PLAZA PALERMO VIEJO;2013;4U;1;VIA PUBLICA;ESPACIOS VERDES;COSTA RICA;0;ARMENIA;Palermo;Comuna 14;;
-58,38399847;-34,5970027;481;PLAZA LIBERTAD;2013;4U;1;VIA PUBLICA;ESPACIOS VERDES;LIBERTAD;0;ALVEAR, MARCELO T. DE;Retiro;Comuna 1;;
-58,39773857;-34,58863451;482;PLAZA EMILIO MITRE;2013;4U;1;VIA PUBLICA;ESPACIOS VERDES;PACHECO DE MELO, JOSE ANDRES;0;LARREA;Recoleta;Comuna 2;;
-58,39192282;-34,59728325;483;PLAZA RODRIGUEZ PEÃ‘A;2013;4U;3;VIA PUBLICA;ESPACIOS VERDES;RODRIGUEZ PEÃ‘A;0;ALVEAR, MARCELO T. DE;Recoleta;Comuna 2;;
-58,39176738;-34,59855925;484;PLAZA RODRIGUEZ PEÃ‘A;2013;4U;3;VIA PUBLICA;ESPACIOS VERDES;RODRIGUEZ PEÃ‘A;0;PARAGUAY;Recoleta;Comuna 2;;
-58,3841056;-34,60134016;485;PLAZA;2013;4U;2;VIA PUBLICA;ESPACIOS VERDES;LIBERTAD;0;TUCUMAN;San Nicolas;Comuna 1;;
-58,41837434;-34,57153057;486;ESTACION SALUDABLE;2013;4U;1;VIA PUBLICA;ESPACIOS VERDES;MONTT, PEDRO, PRES. AV.;0;KENNEDY, JOHN FITZGERALD;Palermo;Comuna 14;;
-58,43471074;-34,55440729;487;ESTACION SALUDABLE;2013;4U;1;VIA PUBLICA;ESPACIOS VERDES;ALSINA, VALENTIN AV.;0;ARMAUER HANSEN, GERARDO, DR.;Palermo;Comuna 14;;
-58,39079959;-34,58784602;488;LA BIELA;2013;4U;1;VIA PUBLICA;GASTRONOMICOS;QUINTANA, MANUEL, PRES. AV.;600;;Recoleta;Comuna 2;1129;C1129ABO
-58,51110656;-34,59992007;489;"HOSPITAL GENERAL DE AGUDOS A. ZUBIZARRETA""""";2013;4U;3;VIA PUBLICA;HOSPITALES;NUEVA YORK;3952;;Villa Devoto;Comuna 11;1419;C1419HDN
-58,37458169;-34,61024652;490;VIA PUBLICA;2013;4U;1;VIA PUBLICA;MICROCENTRO;ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV.;600;;Monserrat;Comuna 1;1067;C1067ABN
-58,41152503;-34,60417594;491;SUBTE CARLOS GARDEL;2013;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;3292;;Balvanera;Comuna 3;1193;C1193AAR
-58,43133391;-34,60224654;492;SUBTE ANGEL GALLARDO;2013;4U;1;VIA PUBLICA;SUBTE;CORRIENTES AV.;4662;;Almagro;Comuna 5;1195;C1195AAS
-58,39282257;-34,60131906;493;USAL CS. JURIDICAS;2013;4U;1;INTERIOR;UNIVERSIDADES;CALLAO AV.;660;;Balvanera;Comuna 3;1022;C1022AAT
-58,39858553;-34,59985686;494;FACULTAD DE CIENCIAS ECONOMICAS UBA;2013;4U;1;VIA PUBLICA;UNIVERSIDADES;CORDOBA AV.;0;URIBURU JOSE E., PRES.;Balvanera;Comuna 3;;
-58,39122438;-34,60426093;495;UMSA;2017;1U;4;VIA PUBLICA;Universidades - Colegios;CORRIENTES AV.;1723;;San Nicolas;Comuna 1;1042;C1042AAD
-58,3928443;-34,59928449;496;USAL CS DE LA EDUCACION Y LA COMUNICACION;2013;4U;1;VIA PUBLICA;UNIVERSIDADES;CALLAO AV.;835;;Recoleta;Comuna 2;1023;C1023AAB
-58,40093424;-34,61089907;497;UNIVERSIDAD DEL SALVADOR - FACULTAD DE CIENCIAS SOCIALES;2013;4U;1;INTERIOR;UNIVERSIDADES;YRIGOYEN, HIPOLITO;2441;;Balvanera;Comuna 3;1089;C1089AAU
-58,39356837;-34,60324103;498;USAL FILOSOFIA Y LETRAS;2013;4U;1;INTERIOR;UNIVERSIDADES;LAVALLE;1878;;Balvanera;Comuna 3;1051;C1051ABB
-58,38588135;-34,59703525;499;USAL CS. DE LA ADMINISTRACION;2013;4U;1;INTERIOR;UNIVERSIDADES;ALVEAR, MARCELO T. DE;1312;;Retiro;Comuna 1;1058;C1058AAV
