id,nombre,dia,horario,numero,ubicacion,barrio,comuna,productos,calle,altura,calle2,direccion,observacio
114,FIAB 21,DOMINGO,de 8:00 a 14:00hs,21,GUALEGUAYCHU ENTRE JOSE PEDRO VARELA Y AV. BEIRO,Villa Devoto,11,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambre y lácteos",GUALEGUAYCHU,3200,NA,GUALEGUAYCHU 3200,NA
116,FIAB 23,MIERCOLES,de 8:00 a 14:00hs,23,EMMA DE LA BARRA ENTRE AV. DE LOS ITALIANOS Y JUANA MANSO,Puerto Madero,1,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",EMMA DE LA BARRA,400,NA,"DE LA BARRA,  EMMA 400",Plazoleta Raquel Forner
117,FIAB 23,JUEVES,de 8:00 a 14:00hs,23,Ricardo Gutierrez 2400 entre Estado Plurinacional de Bolivia y Empedrado,Villa Del Parque,11,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",Ricardo Gutierrez,NA,Empedrado,"GUTIERREZ, RICARDO y EMPEDRADO, CABA",NA
118,FIAB 23,VIERNES,de 8:00 a 14:00hs,23,Castex entre Scalabrini Ortíz y Cavia,Palermo,14,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",CASTEX,NA,Cavia,CASTEX y CAVIA,Plaza Alemania
119,FIAB 23,SABADO,de 8:00 a 14:00hs,23,Arias 2800 - entre Av. Crámer y Conesa - Plaza Vicuña Mackenna,Saavedra,12,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",ARIAS,2800,NA,ARIAS 2800,Plaza Vicuña Mackenna
120,FIAB 23,DOMINGO,de 8:00 a 14:00hs,23,Rosario Vera Peñaloza 600 - entre Calabria y Lanteri.,Puerto Madero,1,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",ROSARIO VERA PEÑALOZA,600,NA,"VERA PEÑALOZA,  ROSARIO 600",NA
121,FIAB 24,MARTES,de 8:00 a 14:00hs,24,Moliere 2700 entre José Pedro Varela y Cnel. Ramón Lista (Pza. Las Toscaneras de Villa Real),Villa Real,10,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Moliere,2700,NA,MOLIERE 2700,Pza. Las Toscaneras de Villa Real
122,FIAB 24,MIERCOLES,de 8:00 a 14:00hs,24,"La Rioja 100, entre Hipólito Irigoyen y Avda. Rivadavia.",Balvanera,3,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",La Rioja,100,NA,LA RIOJA 100,NA
123,FIAB 24,JUEVES,de 8:00 a 14:00hs,24,Moliere 2700 - entre José Pedro Varela y Coronel Ramón Lista,Villa Real,10,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Moliere,2700,NA,MOLIERE 2700,Plaza Las Toscaneras de Villa Real
124,FIAB 24,VIERNES,de 8:00 a 14:00hs,24,Monasterio 1 al 200 entre Av. Caseros y Uspallata,Parque Patricios,4,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Monasterio,NA,Caseros,"MONASTERIO y CASEROS AV., CABA",Parque Florentino Ameghino
