id,idecaba,nombre,linea,ramal,barrio,comuna,localidad,partido,geometry
67,150,Bosques,"Roca , F.C.G.R.",,,,Bosques,Bosques,POINT (-58.23011606601809 -34.81958729022254)
68,37,Boulogne Sur Mer,"Belgrano Norte , F.C.G.B.",,,,Boulogne,Boulogne,POINT (-58.56532165467617 -34.50861753026708)
69,29,Burzaco,"Roca , F.C.G.R.",,,,Burzaco,Burzaco,POINT (-58.391401966028845 -34.825117902321516)
70,77,Campo de Mayo,"Urquiza , F.C.G.U.",,,,Campo de Mayo,Campo de Mayo,POINT (-58.685758301416236 -34.54376535183564)
71,227,Canal San Fernando,"Tren De La Costa , T.d.l.C.",,,,Tigre,Tigre,POINT (-58.56286886944351 -34.42995283152897)
72,211,Cañuelas,"Roca , F.C.G.R.",,,,Cañuelas,Cañuelas,POINT (-58.75425154323478 -35.05922754747488)
73,215,Capilla,"Urquiza , F.C.G.U.",,,,,,POINT (-59.10694599383332 -34.291845457672615)
74,297,Capilla del Señor,"Mitre , F.C.G.B.M.",,,,,,POINT (-59.10171462057733 -34.28695116585888)
75,78,Capitán Lozano,"Urquiza , F.C.G.U.",,,,Campo de Mayo,Campo de Mayo,POINT (-58.669762887985975 -34.55537668275518)
76,38,Carapachay,"Belgrano Norte , F.C.G.B.",,,,Carapachay,Carapachay,POINT (-58.537383552043956 -34.528805328989606)
77,235,Carlos Spegazzini,"Roca , F.C.G.R.",,,,Carlos Spegazzini,Carlos Spegazzini,POINT (-58.594359258765266 -34.91002430978792)
78,257,Carupá,"Mitre , F.C.G.B.M.",,,,San Fernando,San Fernando,POINT (-58.56721895334156 -34.43771294306219)
79,57,Caseros,"San Martin , F.C.G.S.M.",,,,Caseros,Caseros,POINT (-58.56456058485908 -34.60459840711987)
80,106,Castelar,"Sarmiento , F.C.D.F.S.",,,,Castelar,Castelar,POINT (-58.641946598807 -34.65202267335601)
81,285,Cetrángolo,"Mitre , F.C.G.B.M.",,,,Florida,Florida,POINT (-58.494132113346865 -34.52313534470526)
82,269,Chilavert,"Mitre , F.C.G.B.M.",,,,General San Martín,General San Martín,POINT (-58.56655809676695 -34.542479712244194)
83,170,City Bell,"Roca , F.C.G.R.",,,,City Bell,City Bell,POINT (-58.04201010247241 -34.865781355057024)
84,103,Ciudadela,"Sarmiento , F.C.D.F.S.",,,,Ciudadela,Ciudadela,POINT (-58.54127151660328 -34.63997314387962)
85,151,Claypole,"Roca , F.C.G.R.",,,,Claypole,Claypole,POINT (-58.33831059191995 -34.80118334444474)
86,199,Coronel Brandsen,"Roca , F.C.G.R.",,,,,,POINT (-58.23189755268917 -35.16791010321871)
87,79,Coronel F. Lynch,"Urquiza , F.C.G.U.",,,,Sáenz Peña,Sáenz Peña,POINT (-58.524363606746924 -34.59719650831005)
88,144,Darío Santillán y Maximiliano Kosteki,"Roca , F.C.G.R.",,,,Avellaneda,Avellaneda,POINT (-58.37663867075505 -34.66203758143972)
89,141,De Elía,"Roca , F.C.G.R.",,,,Aldo Bonzi,Aldo Bonzi,POINT (-58.506133921873264 -34.70980678270647)
90,39,Del Viso,"Belgrano Norte , F.C.G.B.",,,,Del Viso,Del Viso,POINT (-58.79571311405638 -34.453867794170755)
91,183,Delta,"Tren De La Costa , T.d.l.C.",,,,Tigre,Tigre,POINT (-58.576859140901284 -34.41849964254023)
92,60,Doctor Domingo Cabred,"San Martin , F.C.G.S.M.",,,,,,POINT (-59.07571769515787 -34.48785948263319)
93,221,Domselaar,"Roca , F.C.G.R.",,,,San Vicente,San Vicente,POINT (-58.29071171112879 -35.07005314443211)
94,159,Don Bosco,"Roca , F.C.G.R.",,,,Don Bosco,Don Bosco,POINT (-58.296428955406554 -34.703282671628045)
95,40,Don Torcuato,"Belgrano Norte , F.C.G.B.",,,,Don Torcuato,Don Torcuato,POINT (-58.64189394416898 -34.50269204032738)
96,289,Dr. Albert Schweitzer,"Mitre , F.C.G.B.M.",,,,Victoria,Victoria,POINT (-58.57435310616345 -34.472038300435806)
97,81,Ejército de los Andes,"Urquiza , F.C.G.U.",,,,Hurlingham,Hurlingham,POINT (-58.64034464552957 -34.580141172552814)
98,177,El Jagüel,"Roca , F.C.G.R.",,,,El Jagüel,El Jagüel,POINT (-58.49613566901129 -34.83323954984928)
99,75,El Palomar,"San Martin , F.C.G.S.M.",,,,Ciudad Jardín Lomas de El Palomar,Ciudad Jardín Lomas de El Palomar,POINT (-58.596038785040854 -34.604929967793794)
100,239,Empalme Lobos,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-59.09093965275986 -35.15155885988287)
101,249,Escobar,"Mitre , F.C.G.B.M.",,,,Belén de Escobar,Belén de Escobar,POINT (-58.795055348483245 -34.34959792622342)
102,290,Estación El Talar,"Mitre , F.C.G.B.M.",,,,General Pacheco,General Pacheco,POINT (-58.64608251650584 -34.462735628364975)
103,34,"Estación ""La Salada""","Belgrano Sur , F.C.G.B.",,,,Ingeniero Budge,Ingeniero Budge,POINT (-58.472789403055245 -34.71877197695961)
104,152,Estanislao S. Zeballos,"Roca , F.C.G.R.",,,,Estanislao Severo Zeballos,Estanislao Severo Zeballos,POINT (-58.25679133087899 -34.81097316657124)
105,35,"Ex-estación ""La Salada""","Belgrano Sur , F.C.G.B.",,,,Ciudad Celina,Ciudad Celina,POINT (-58.479938810541405 -34.717907789162595)
106,234,Ezeiza,"Roca , F.C.G.R.",,,,Ezeiza,Ezeiza,POINT (-58.522890075259916 -34.85406050598544)
107,160,Ezpeleta,"Roca , F.C.G.R.",,,,Ezpeleta,Ezpeleta,POINT (-58.23432051304694 -34.75181292245215)
108,232,Fátima,"Urquiza , F.C.G.U.",,,,Fátima,Fátima,POINT (-58.99058418484783 -34.436765294919375)
109,83,Fernández Moreno,"Urquiza , F.C.G.U.",,,,Sáenz Peña,Sáenz Peña,POINT (-58.5352832585905 -34.59554609989093)
110,233,Fiorito,"Belgrano Sur , F.C.G.B.",,,,Villa Fiorito,Villa Fiorito,POINT (-58.44097704283311 -34.705396126436916)
111,153,Florencio Varela,"Roca , F.C.G.R.",,,,Florencio Varela,Florencio Varela,POINT (-58.274075148523806 -34.811129505249475)
112,286,Florida,"Mitre , F.C.G.B.M.",,,,Florida,Florida,POINT (-58.49442216758263 -34.530152642960374)
